name,category,color,price,rating,image_url,description
"Red Floral Dress","dress","red",150.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Beautiful red floral dress perfect for summer"
"Blue Denim Jeans","jeans","blue",89.99,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic blue denim jeans with comfortable fit"
"Black Leather Jacket","jacket","black",299.99,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Premium black leather jacket for any occasion"
"White Cotton T-Shirt","shirt","white",25.99,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Soft white cotton t-shirt for everyday wear"
"Green Summer Dress","dress","green",120.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Light green summer dress with elegant design"
"Dark Blue Hoodie","hoodie","blue",75.50,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable dark blue hoodie for casual wear"
"Pink Blouse","blouse","pink",65.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish pink blouse perfect for office wear"
"Black Skinny Jeans","jeans","black",95.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Trendy black skinny jeans with stretch fabric"
"Red Sneakers","shoes","red",110.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable red sneakers for sports and casual wear"
"Yellow Sundress","dress","yellow",85.99,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Bright yellow sundress perfect for beach days"
"Grey Sweatshirt","sweatshirt","grey",55.00,4.0,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Cozy grey sweatshirt for cool weather"
"Purple Evening Gown","dress","purple",350.00,4.9,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant purple evening gown for special occasions"
"Brown Boots","shoes","brown",180.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Durable brown leather boots for outdoor activities"
"Navy Blue Blazer","blazer","blue",220.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Professional navy blue blazer for business meetings"
"Orange Tank Top","tank","orange",35.00,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Bright orange tank top for summer workouts"
"Black Formal Dress","dress","black",280.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant black formal dress for special events"
"Beige Trench Coat","coat","beige",320.00,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic beige trench coat for all seasons"
"White Sneakers","shoes","white",95.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Clean white sneakers for everyday wear"
"Striped Shirt","shirt","blue",45.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic striped shirt for casual style"
"Red Cardigan","cardigan","red",85.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Warm red cardigan for chilly days"
"Black High Heels","shoes","black",150.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish black high heels for formal occasions"
"Denim Jacket","jacket","blue",125.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic denim jacket for layering"
"Green Polo Shirt","shirt","green",55.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable green polo shirt for casual wear"
"Brown Leather Bag","bag","brown",120.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Premium brown leather handbag"
